model_name,accuracy,precision,recall,f1,confusion_matrix,roc_auc,selection_score
XGBoost,0.9553072625698324,0.0,0.0,0.0,"[[684, 11], [21, 0]]",0.6158958547447757,0.6158958547447757
CatBoost,0.9608938547486033,0.0,0.0,0.0,"[[688, 7], [21, 0]]",0.5810208975676602,0.5810208975676602
RandomForest,0.9134078212290503,0.023255813953488372,0.047619047619047616,0.03125,"[[653, 42], [20, 1]]",0.5799246317231929,0.5799246317231929
LightGBM,0.9608938547486033,0.0,0.0,0.0,"[[688, 7], [21, 0]]",0.5247687564234327,0.5247687564234327
