iter	Logloss
0	0.6279926527
1	0.5723457906
2	0.5214861276
3	0.4777472283
4	0.440726017
5	0.4049019152
6	0.3768198278
7	0.3504643132
8	0.3265112277
9	0.3069562622
10	0.289758335
11	0.2734001174
12	0.2598367705
13	0.2479873979
14	0.2384355849
15	0.2295919034
16	0.2212984267
17	0.2131431529
18	0.2072707177
19	0.2018394964
20	0.1971869998
21	0.1919657028
22	0.1877075086
23	0.1841710951
24	0.1802297034
25	0.176435991
26	0.173619547
27	0.1700465009
28	0.1679712161
29	0.1659650352
30	0.1640419156
31	0.1624015481
32	0.1609234632
33	0.1592600077
34	0.1581345486
35	0.1566067771
36	0.15499521
37	0.1537587364
38	0.1525789751
39	0.1511739808
40	0.1497786174
41	0.1478868073
42	0.1471257153
43	0.1462301732
44	0.1452556184
45	0.1446139723
46	0.1437153337
47	0.1426493941
48	0.1420736335
49	0.1410682957
50	0.1398972422
51	0.1393135818
52	0.1384995356
53	0.1375943261
54	0.1369029277
55	0.1360985474
56	0.1353277975
57	0.1343459361
58	0.1336046475
59	0.1328544729
60	0.1325229333
61	0.1318919427
62	0.1313343461
63	0.1304398996
64	0.1298391703
65	0.1292423036
66	0.1287260297
67	0.127667268
68	0.1271421251
69	0.1267920201
70	0.1263138971
71	0.1257269493
72	0.1250513292
73	0.1245399267
74	0.1241004673
75	0.1233854377
76	0.1229108704
77	0.1218310983
78	0.1213338021
79	0.1210294871
80	0.120600285
81	0.120015052
82	0.1195978524
83	0.119202963
84	0.1187549498
85	0.1184137838
86	0.117359881
87	0.1167077216
88	0.1163462209
89	0.1155742366
90	0.1150286754
91	0.1144712854
92	0.1138921593
93	0.1135279839
94	0.1131543851
95	0.1126512198
96	0.1124021056
97	0.1121591953
98	0.1116300132
99	0.1111170139
100	0.1107178523
101	0.1105067924
102	0.1100449998
103	0.1095854034
104	0.1093945789
105	0.108844809
106	0.1084182369
107	0.1076273492
108	0.1071667832
109	0.1067732876
110	0.1064709155
111	0.1061683682
112	0.1056287086
113	0.1053290972
114	0.1051349216
115	0.1047293996
116	0.1045615373
117	0.1043666684
118	0.1038451529
119	0.1036671192
120	0.10336326
121	0.1029526382
122	0.1023619751
123	0.1021115536
124	0.1018724471
125	0.1013637844
126	0.1011238468
127	0.1009700008
128	0.1007009648
129	0.1002966427
130	0.09981870756
131	0.09909149831
132	0.09881338413
133	0.09829501575
134	0.0979863869
135	0.09770701874
136	0.09722937618
137	0.09692474527
138	0.09641641626
139	0.09629602884
140	0.09606444774
141	0.09550118444
142	0.09534744029
143	0.09503525357
144	0.09467119138
145	0.09455264327
146	0.0940406995
147	0.09391404874
148	0.09360437788
149	0.09311265423
150	0.09256233704
151	0.09211603445
152	0.09181950547
153	0.0915722053
154	0.09138650918
155	0.09098214967
156	0.09064485255
157	0.09054809891
158	0.0903378403
159	0.09005167631
160	0.0895605911
161	0.08914638025
162	0.08898078195
163	0.0885834752
164	0.0880279212
165	0.08778337632
166	0.08753479268
167	0.08708629224
168	0.08658278812
169	0.08626286453
170	0.08580141037
171	0.08544142375
172	0.08524072845
173	0.08499025595
174	0.08474815564
175	0.08434294374
176	0.08417921501
177	0.08402974848
178	0.08388452548
179	0.08349707397
180	0.08317052131
181	0.08298800026
182	0.0827311373
183	0.08236073233
184	0.08188324197
185	0.08142970878
186	0.08098768901
187	0.08067526144
188	0.08035683362
189	0.07999447225
190	0.07961737975
191	0.07933101468
192	0.07884853431
193	0.07864549989
194	0.07843237779
195	0.07809557843
196	0.07789607151
197	0.07763391476
198	0.07758826931
199	0.07729922122
200	0.07714783244
201	0.07684287826
202	0.07647130162
203	0.07603359587
204	0.07595382587
205	0.07569637192
206	0.07560255309
207	0.07547773614
208	0.07504925319
209	0.0747001198
210	0.07436890751
211	0.07412314316
212	0.07393370368
213	0.07353433566
214	0.0733527259
215	0.07305498726
216	0.07276359781
217	0.07260750151
218	0.07240590614
219	0.07206608898
